Player,Rounds,Rating,ACS,K/D,ADR,KPR,DPR,APR,FBPR,FDPR,HS%,FBSR
 Bob,7791,1.05,197.6,1.09,131.6,0.68,0.62,0.39,0.07,0.07,23%,50%
 Precision,6032,1.05,195.9,1.07,125.8,0.69,0.65,0.34,0.08,0.09,23%,48%
 9ianny,309,1.04,229.1,0.97,152.4,0.73,0.75,0.28,0.13,0.16,16%,45%
 aproto,5423,1.04,218.8,1.14,135.6,0.79,0.69,0.21,0.09,0.07,38%,59%
 Siduzord,603,1.04,212.7,1.11,143.2,0.73,0.66,0.29,0.08,0.07,22%,55%
 Mono,1691,1.04,212.6,1.10,137.5,0.75,0.68,0.25,0.11,0.10,25%,52%
 Twinte,332,1.04,211.8,1.12,142.3,0.76,0.68,0.27,0.06,0.08,28%,43%
 Kei,313,1.04,211.1,1.00,140.4,0.75,0.75,0.29,0.11,0.11,21%,50%
 ork1de,1547,1.04,208.7,1.07,132.5,0.75,0.70,0.24,0.12,0.11,21%,53%
 RENZ,5884,1.04,208.6,1.03,135.7,0.73,0.71,0.28,0.09,0.07,24%,56%
 Theory,2774,1.04,208.3,1.09,136.9,0.71,0.65,0.34,0.08,0.09,24%,48%
 randyySAVAGE,10130,1.04,208.1,1.08,136.6,0.72,0.67,0.24,0.10,0.08,26%,53%
 Bjor,7886,1.04,208.1,1.10,138.1,0.72,0.66,0.26,0.09,0.08,19%,53%
 Kamuro,1460,1.04,206.5,1.06,136.4,0.70,0.66,0.28,0.10,0.09,21%,51%
 dephh,4761,1.04,205.3,1.06,134.2,0.73,0.69,0.24,0.12,0.09,24%,58%
 ariee,571,1.04,205.3,1.07,135.9,0.73,0.68,0.30,0.10,0.12,17%,46%
 Zest,2599,1.04,205.1,1.18,128.4,0.70,0.60,0.32,0.10,0.10,27%,52%
 Lear,4627,1.04,203.4,1.08,135.7,0.71,0.66,0.28,0.08,0.07,23%,53%
 Apotheon,8285,1.04,202.4,1.10,131.1,0.73,0.67,0.26,0.09,0.08,29%,52%
 morv1aNn,2051,1.04,202.2,1.09,131.2,0.71,0.65,0.31,0.07,0.07,24%,47%
 Meddo,6020,1.04,202.0,1.27,133.3,0.74,0.59,0.20,0.07,0.04,25%,65%
 dawn,3128,1.04,201.2,1.17,127.6,0.72,0.61,0.26,0.09,0.07,24%,57%
 LKSHOW,1053,1.04,201.0,1.04,129.6,0.70,0.67,0.35,0.07,0.07,19%,51%
 Hydra,4848,1.04,198.1,1.12,134.5,0.71,0.63,0.32,0.07,0.07,22%,51%
 nAvarro,746,1.04,193.4,1.04,129.0,0.66,0.64,0.39,0.07,0.06,19%,53%
 tayhuhu,3725,1.04,190.5,1.11,125.3,0.68,0.61,0.36,0.05,0.05,20%,51%
 unusuaL,407,1.03,235.0,1.18,144.5,0.79,0.67,0.22,0.14,0.11,21%,56%
 Joojina,718,1.03,225.4,1.08,147.5,0.80,0.74,0.17,0.16,0.15,22%,52%
 pMdr1,967,1.03,221.0,1.14,138.6,0.79,0.70,0.21,0.13,0.15,29%,47%
